Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
19th Av E / E Aloha St,Car Fire,11/08/2011 03:58:00 AM +0000,47.626852,-122.307297,"(47.626852, -122.307297)",F110103632
23rd Av E / E Newton St,Car Fire,11/07/2011 06:32:00 AM +0000,47.637701,-122.302802,"(47.637701, -122.302802)",F110103371
Sb I5 To Wb Wsea Frwy,Car Fire Freeway,11/06/2011 04:22:00 AM +0000,47.574458,-122.320215,"(47.574458, -122.320215)",F110103047
Nb I5 To Northgate,Car Fire,11/06/2011 04:18:00 AM +0000,47.703742,-122.329381,"(47.703742, -122.329381)",F110103043
1st Av Ne / Ne 107th St,Car Fire,11/06/2011 04:18:00 AM +0000,47.706812,-122.328592,"(47.706812, -122.328592)",F110103044
43rd Av S / S Othello St,Car Fire,11/06/2011 03:58:00 AM +0000,47.537053,-122.279385,"(47.537053, -122.279385)",F110103038
3304 S Holly St,Car Fire,11/05/2011 11:29:00 AM +0000,47.542495,-122.290232,"(47.542495, -122.290232)",F110102785
11th Av Ne / Ne 45th St,Car Fire,11/04/2011 02:21:00 PM +0000,47.661292,-122.316579,"(47.661292, -122.316579)",F110102440
23rd Av S / S Judkins St,Car Fire,11/04/2011 04:35:00 AM +0000,47.591893,-122.3025,"(47.591893, -122.3025)",F110102371
35th Av Ne / Ne 70th St,Car Fire,11/04/2011 02:31:00 AM +0000,47.679416,-122.290376,"(47.679416, -122.290376)",F110102339
Nb I5 To 130,Car Fire Freeway,11/02/2011 07:00:00 PM +0000,47.719838,-122.324131,"(47.719838, -122.324131)",F110101902
4th Av S / S Holgate St,Car Fire,11/02/2011 07:56:00 AM +0000,47.58617,-122.329062,"(47.58617, -122.329062)",F110101712
Myers Way S / Olson Pl Sw,Car Fire,11/02/2011 02:17:00 AM +0000,47.522322,-122.334841,"(47.522322, -122.334841)",F110101652
4700 42nd Av Sw,Car Fire,11/01/2011 09:53:00 PM +0000,47.561101,-122.385457,"(47.561101, -122.385457)",F110101592
Wb I90 At Tunnel,Car Fire Freeway,10/31/2011 08:46:00 PM +0000,47.590516,-122.302426,"(47.590516, -122.302426)",F110101228
Rainier Av S / S Weller St,Car Fire,10/31/2011 05:05:00 AM +0000,47.597492,-122.31276,"(47.597492, -122.31276)",F110101061
Westlake Av / Denny Way,Car Fire,10/31/2011 02:16:00 AM +0000,47.618534,-122.338485,"(47.618534, -122.338485)",F110101033
Rainier Av S / S Frontenac St,Car Fire,10/29/2011 07:56:00 AM +0000,47.539804,-122.270942,"(47.539804, -122.270942)",F110100372
902 1st Av S,Car Fire,10/29/2011 02:28:00 AM +0000,47.594838,-122.334193,"(47.594838, -122.334193)",F110100280
Eb Wsea Frwy At Delridge,Car Fire,10/28/2011 10:41:00 PM +0000,47.571208,-122.358479,"(47.571208, -122.358479)",F110100226
1200 Westlake Av N,Car Fire,10/27/2011 09:19:00 PM +0000,47.629688,-122.340949,"(47.629688, -122.340949)",F110099872
9450 6th Av Sw,Car Fire,10/25/2011 07:26:00 PM +0000,47.518655,-122.342883,"(47.518655, -122.342883)",F110099236
